313213143111312314114231331322|准噶尔煤田在我国的哪个省
143111312311212341331322421424|在组织形象识别系统中
143111313334113231321312421424|农产品
142432444241213443124224211314|有限责任公司的股东人数
212141331322421424324214242423|发明专利在我国的期限为
121224342432423132131431321333|广东罗浮山以什么出名
324214222424431224342432423132|尼日尔河
113144243242142432424241214141|西印度群岛位于
134133434123113144243242142432|君主立宪
324214222423432323412442433132|瓯绣
222423431221342432423132131431|马拉松
434323113144243242142432424241|地动仪是谁制做的
131431321313131122331413143134|第一大河
212442433132131431321313134111|眉毛的生长周期有多久
213443124214241314313213143111|露天博物馆
321312421424324214242424421221|是给什么人作的传
241314313213143111313334114231|三国里面刘关张是在什么地方结义的
342432423132131431321313131112|太监原先是
131431321333134123434123113144|人的心脏共有几个心房和心室
211314313213143111312323212141|光学玻璃
243242142432424242233442124214|五四运动
444242233442124214141314313213|芨芨草
243242142432444241214141234224|钻石
131432331413143134243242142432|护照
433132131431321313134143434323|海市蜃楼
312344114231321312421424324214|玛
434224211314313213143131312321|第一个排球是由什么演变的
331322421424324214222423444323|奥赛罗
321333134112332413113144243242|著名的哈雷彗星命名源于
432323212442433132131431321313|临床通过检测尿液中一定时间内的含氮量
332413143134243242142432424242|人体通常可以自制哪种所需的维生素
421424324214222423421221442442|信用卡
424241214141234224211314313213|是莲的
312344114231321312421424324214|祖玛卡
